"last_name, first_name",player_id,year,p_win,p_loss,p_era,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Colon, Bartolo",112526,2018,7,12,5.78,0.363,37.2,7.5,40.8,78.990581081,94.305538687,12.6,46.2
"Pérez, Oliver",424144,2018,1,1,1.39,0.215,36.8,5.9,23.5,76.472146765,91.910446765,34.6,46.4
"Wainwright, Adam",425794,2018,2,4,4.46,0.314,32.2,6.6,24,75.754455085,92.126014872,23.3,41.1
"Casilla, Santiago",433586,2018,0,0,3.16,0.325,27.9,2.3,32.6,75.68400186,92.942525581,23.9,40.3
"Hernández, Félix",433587,2018,8,14,5.55,0.352,34,8.4,38.5,79.751502678,94.188946987,19.8,45
"Petit, Yusmeiro",433589,2018,7,3,3.00,0.294,31.4,7.7,33.9,77.022510597,93.054568246,20.1,49.9
"Verlander, Justin",434378,2018,16,9,2.52,0.237,31.1,6.2,32.7,78.75990849,93.215622592,31.6,51.2
"Sánchez, Aníbal",434671,2018,7,6,2.83,0.275,27.2,5.1,26.3,73.59857095,92.227648992,24.7,46.5
"Duke, Zach",435043,2018,5,5,4.15,0.270,28.4,1.2,34,77.9073875,93.548183289,24.2,45.9
"McCarthy, Brandon",435221,2018,6,3,4.92,0.332,30.8,7.9,36.8,78.489322984,94.060684516,16.7,48.3
"Rondón, Héctor",444468,2018,2,5,3.20,0.280,33.1,4.9,36.9,77.714495375,93.975244025,30.4,47.8
"Jansen, Kenley",445276,2018,1,5,3.01,0.264,33.5,7.4,24.6,73.011258495,91.839386828,28.2,52
"Axford, John",446099,2018,4,1,5.27,0.286,28.6,5.2,34.4,74.400174211,93.192569671,21.6,42.4
"Kluber, Corey",446372,2018,20,7,2.89,0.276,32.1,6.3,34.5,77.474814353,93.263122919,26.9,48.2
"Cecil, Brett",446399,2018,1,1,6.89,0.377,31.9,8,38.9,78.264779123,93.84034708,20.1,46.4
"Ziegler, Brad",446899,2018,2,6,3.91,0.305,22.8,4.8,41.7,79.328355664,94.62229,22,49
"Hill, Rich",448179,2018,11,5,3.66,0.304,33,7.8,36.2,78.503322647,93.652919263,24.7,47.1
"Doolittle, Sean",448281,2018,3,3,1.60,0.204,31.6,5.3,24.2,73.217019149,91.906650323,33.5,56.3
"Shields, James",448306,2018,7,16,4.53,0.350,35.9,8.3,35.6,78.170011093,93.584878939,24.5,45.4
"Sipp, Tony",448609,2018,3,1,1.86,0.260,32.6,1.1,22.3,77.803630638,91.659125376,31.8,46.1
"Guerra, Junior",448855,2018,6,9,4.09,0.312,32.3,6.7,38.8,78.103361527,94.105870936,24.7,47.3
"Morton, Charlie",450203,2018,15,3,3.13,0.284,32,5.8,31,76.951516373,93.08194473,28.5,44.8
"Vargas, Jason",450306,2018,7,9,5.77,0.331,34.4,8.1,30.4,75.654978,93.042031599,26.3,44.2
"Fister, Doug",450729,2018,1,7,4.50,0.353,34.4,7.6,41.1,75.398505714,94.029746473,13.6,41.4
"Gallardo, Yovani",451596,2018,8,8,6.39,0.366,35.7,6.4,40.8,78.476568917,93.670589393,17.5,40.4
"Fields, Josh",451661,2018,2,2,2.20,0.293,33.6,5.5,37,81.487818333,93.451624206,26.5,51.2
"Hughes, Jared",453172,2018,4,3,1.94,0.268,22.9,4.7,36.9,78.373880673,93.981423606,25.2,50.8
"Miller, Andrew",453192,2018,2,4,4.24,0.296,34.1,4.5,37.6,76.814406905,93.161456867,32.1,44.6
"Wright, Steven",453214,2018,3,1,2.68,0.308,27.5,6.5,26.8,76.3959208,92.572430067,22.8,44.2
"Parker, Blake",453284,2018,2,1,3.26,0.326,37,9.2,40.2,81.062126413,94.262396011,24.9,46.2
"Scherzer, Max",453286,2018,18,7,2.53,0.248,33.8,6.6,31.7,75.860880685,92.647810141,33.1,52.4
"Buchholz, Clay",453329,2018,7,2,2.01,0.303,35,6.3,36.7,78.425644823,93.344201348,21.5,48.6
"Martin, Chris",455119,2018,1,5,4.54,0.320,35.6,6.1,34.8,77.437742121,93.709315344,20.3,49.6
"Cueto, Johnny",456501,2018,3,2,3.23,0.320,33.5,9.5,30.4,76.504288182,92.883577662,21.6,46
"Hernandez, David",456696,2018,5,2,2.53,0.279,33.5,3.6,36.5,78.282481829,93.352410244,24.5,50.2
"Bailey, Homer",456701,2018,1,14,6.09,0.362,40.4,8.6,42.7,78.570619679,94.627583914,19.5,50.9
"Cedeño, Xavier",458584,2018,2,0,2.43,0.284,36.7,3.3,27.8,79.101758889,92.605149,31.1,43.5
"Volstad, Chris",458690,2018,1,5,6.27,0.357,32.7,8.8,39.8,80.635980941,94.229068353,12.7,43.4
"Clippard, Tyler",461325,2018,4,3,3.67,0.280,38.3,6.9,29.3,76.687865,92.755566608,31.8,50.2
"Gonzalez, Gio",461829,2018,10,11,4.21,0.329,35.1,5.8,34.5,76.94446063,93.321813688,24,43.2
"Hughes, Phil",461833,2018,0,0,6.34,0.434,45,17.4,45,82.844345185,95.316100833,22.1,50.7
"Estrada, Marco",462136,2018,7,14,5.64,0.332,37.6,9.3,33.3,77.053938069,92.948710987,23.3,48.6
"Johnson, Jim",462382,2018,5,3,3.84,0.307,31.5,5,41.5,79.937635657,93.980145202,17.7,45
"Soria, Joakim",465657,2018,3,4,3.12,0.264,37,4.9,29.2,73.698072308,92.281274295,29.2,52
"Nova, Iván",467100,2018,9,9,4.19,0.332,33.2,7.9,38.7,80.035492471,94.077225463,19.9,48.9
"Carrasco, Carlos",471911,2018,17,10,3.38,0.283,32.9,6,39.1,79.706658008,94.074574751,33.1,49.7
"García, Luis",472610,2018,3,1,6.07,0.311,34.4,4.6,39.2,78.108173281,93.753180315,33.1,46.3
"Anderson, Brett",474463,2018,4,5,4.48,0.321,31.7,7.7,38.5,78.149650902,93.98941366,17.2,47.7
"Betances, Dellin",476454,2018,4,6,2.70,0.237,35.7,4,27.8,75.222560161,92.290703902,37.5,43
"Warren, Adam",476589,2018,3,2,3.14,0.336,35.6,9.4,38.3,77.985325405,93.688255878,26,43.9
"Stock, Robert",476594,2018,1,1,2.50,0.258,24.8,1.8,33.6,75.395033455,93.171794545,25.7,42.9
"Kershaw, Clayton",477132,2018,9,5,2.73,0.282,29.9,5.4,35.4,77.208474626,93.432404857,23,51.6
"Salas, Fernando",477569,2018,4,4,4.50,0.297,28.8,7.2,40,79.458597705,93.83597918,22,47.4
"Buchter, Ryan",488748,2018,6,0,2.75,0.288,29.9,4.7,37.4,78.335696538,93.442341456,25.5,48
"Cashner, Andrew",488768,2018,4,15,5.29,0.358,36.4,7.2,35.8,79.270260472,93.70698626,17.2,43.6
"Coleman, Louis",488786,2018,4,1,3.51,0.295,31.5,2.7,24.7,75.626786056,91.782899718,27.7,44.6
"Duensing, Brian",488846,2018,3,0,7.65,0.348,33.1,5.5,33.3,76.350766984,93.08416768,21.1,45.4
"Hunter, Tommy",488984,2018,5,4,3.80,0.307,33.8,5.5,35.3,76.8418886,92.93598165,21.3,53.4
"Romo, Sergio",489265,2018,3,4,4.14,0.280,30.6,8.1,30.8,75.875236304,92.626844918,31.7,45.5
"Stammen, Craig",489334,2018,8,3,2.73,0.256,32.1,4.3,34.2,78.225709192,93.116821616,30,49.2
"Yates, Kirby",489446,2018,5,3,2.14,0.255,30.9,7.2,39.7,74.898645588,93.653424148,34.5,53.2
"Oh, Seunghwan",493200,2018,6,3,2.63,0.260,37.4,5.2,32.2,76.538718276,92.801468382,31.6,50.9
"Ottavino, Adam",493603,2018,6,4,2.43,0.229,28.6,3.9,29.9,75.068360526,92.342169603,32.7,39.4
"Quintana, Jose",500779,2018,13,11,4.03,0.321,33.7,6.1,37.6,79.719928826,93.737849168,20.6,42.8
"Avilán, Luis",501593,2018,2,1,3.77,0.278,32.5,3.2,24,74.459030484,91.933442742,25.1,44.4
"Archer, Chris",502042,2018,6,8,4.31,0.317,33.7,6.4,38.7,79.730301531,93.947308897,28.6,48.5
"McAllister, Zach",502083,2018,1,2,6.20,0.345,33.8,9.5,42.1,78.659507324,94.640387801,21.9,51.3
"Robertson, David",502085,2018,8,3,3.23,0.279,32.5,8.4,44,80.603442222,94.044259565,32.5,44.2
"Samardzija, Jeff",502188,2018,1,5,6.25,0.361,37.6,9.4,32,76.951365352,92.858767606,20.6,44.7
"Miller, Justin",502522,2018,7,1,3.61,0.285,32.4,10.3,31.6,78.499252388,92.872348284,26.6,53.4
"Anderson, Chase",502624,2018,9,8,3.93,0.330,34.5,8.8,30.8,76.343084091,93.040743818,22.1,47.2
"Holland, Derek",502706,2018,7,9,3.57,0.312,34.1,6.6,35.4,77.555262532,93.635942743,23.8,47
"Peralta, Wily",503449,2018,1,0,3.67,0.334,28.9,10,40,79.872472791,94.401706235,24.3,43.7
"Colomé, Alex",517008,2018,7,5,3.04,0.295,32.8,4.8,37.6,80.626490215,93.966566237,29.9,50.8
"Alexander, Scott",518397,2018,2,1,3.68,0.283,22.4,2.7,35,77.253732198,93.203678626,27.7,45.6
