"last_name, first_name",player_id,year,p_win,p_loss,p_era,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Blanco, Ronel",669854,2025,3,4,4.10,0.279,25.2,8.4,30.5,74.409075313,92.826420709,32,47.6
"Holton, Tyler",663947,2025,6,5,3.66,0.303,31.2,8.2,37.7,75.511923982,94.106642522,24.6,47.6
"Gausman, Kevin",592332,2025,10,11,3.59,0.301,35,8.5,41.4,78.114323042,94.522007833,26.4,51.6
"Fernandez, Ryan",681676,2025,0,4,7.71,0.313,30.3,11.2,43.8,78.815764667,94.366684607,32.1,50
"Mikolas, Miles",571945,2025,8,11,4.84,0.351,34,12.7,41.8,77.808310802,94.601714237,16.5,48
"Eovaldi, Nathan",543135,2025,11,3,1.73,0.272,31.4,7.4,38.5,77.481805,93.954033855,27.7,50.7
"Olson, Reese",681857,2025,4,4,3.15,0.313,36.8,7.4,44.7,81.731139149,95.248943138,29.7,44.4
"Festa, Matt",670036,2025,5,4,4.12,0.290,36,6,34,76.399022192,93.278516621,27.3,51.5
"Rea, Colin",607067,2025,11,7,3.95,0.329,38.8,10.3,41,79.312181125,94.443682505,22,47.6
"Rogers, Tyler",643511,2025,4,6,1.98,0.256,26,2.1,33.1,73.504614202,93.082203445,15.9,54.6
"Flexen, Chris",623167,2025,5,1,3.09,0.346,34.7,9,41.7,81.779611408,94.462315177,16.7,49.8
"Finnegan, Kyle",640448,2025,4,4,3.47,0.278,32.5,7.8,42.9,80.162518158,94.625118344,24.6,50
"Ferguson, Caleb",657571,2025,5,4,3.58,0.291,35.6,3.1,27.7,72.885195806,92.37738129,21.4,47.9
"Nicolas, Kyle",693312,2025,1,2,4.74,0.316,32.7,7.1,38.9,79.652483571,94.404391607,29.4,47.5
"Lynch IV, Daniel",663738,2025,6,2,3.06,0.329,28.3,8,42.5,76.90873625,94.451533462,22.3,42.9
"Banks, Tanner",621383,2025,6,2,3.07,0.303,40.4,7.8,36.8,76.441604574,93.663802872,21.9,50.1
"Matsui, Yuki",673513,2025,3,1,3.98,0.313,30.5,9,37.3,77.594650455,93.797769716,30.3,49
"Bernardino, Brennan",657514,2025,4,3,3.14,0.287,28.5,7.3,35.8,75.546172973,93.832306486,19.3,43.6
"Dodd, Dylan",689266,2025,1,0,3.60,0.289,27,8,48,78.0371262,95.3824356,30.9,54.3
"King, Bryan",687911,2025,5,4,2.78,0.274,33,5.8,36.1,78.054802766,93.54020385,24.4,49.7
"King, Michael",650633,2025,5,3,3.44,0.320,35.1,11.4,38.1,75.256827327,94.366145373,25.8,44.1
"Yates, Kirby",489446,2025,4,3,5.23,0.318,36.1,13,42.6,76.198084259,94.658953178,35.3,51.3
"Littell, Zack",641793,2025,10,8,3.81,0.323,32.7,9.9,40.9,80.190668797,94.458762186,20.4,51.8
"Elder, Bryce",693821,2025,8,11,5.30,0.335,34,7.7,43.8,78.82004177,94.988058103,22.5,46.3
"Brash, Matt",666374,2025,1,3,2.47,0.282,31.4,5.8,30.6,75.095696034,93.324825862,30.9,42.1
"Buttó, José",676130,2025,5,3,3.90,0.328,29.8,9.4,39.8,79.676354421,94.558922063,28.8,47.2
"Smith-Shawver, AJ",700363,2025,3,2,3.86,0.379,41.4,12.5,50.8,80.383414444,95.756931587,27.1,46.3
"Bachar, Lake",669199,2025,8,2,3.93,0.327,38.3,10.6,41.5,80.383076196,94.506561793,30.2,46.3
"Rodriguez, Eduardo",593958,2025,9,9,5.02,0.328,35.8,8.2,35.2,76.814734292,93.89951643,23,47.1
"Irvin, Jake",663623,2025,9,13,5.70,0.360,34.8,11.9,47.1,79.313724864,95.158643027,18.2,46.8
"Harris, Hogan",663687,2025,2,1,3.20,0.305,34.8,5.6,32.6,77.910871023,93.049922557,23,45.6
"Hoglund, Gunnar",680684,2025,1,3,6.40,0.408,36.2,16.2,45.7,82.198187547,96.00007381,22,45.7
"Kahnle, Tommy",592454,2025,1,5,4.43,0.328,32.4,9.2,37.3,77.436664348,93.764634946,25.4,43.7
"Gaddis, Hunter",683769,2025,2,2,3.11,0.298,34.1,9.5,39.1,79.689629318,94.667482443,32.2,50.9
"Jacob, Alek",689690,2025,1,0,5.13,0.344,34.5,7.3,31.8,70.744602909,92.803120092,21.3,45.7
"Booser, Cam",592155,2025,2,4,5.52,0.326,36.8,13.8,42.5,80.27361381,95.090481786,30,47.3
"Brown, Hunter",686613,2025,12,9,2.43,0.277,31.4,5.9,32.2,73.816626184,93.243178596,27.8,44.8
"Erceg, Lucas",668674,2025,8,4,2.64,0.305,27.9,7.3,37.4,77.802849663,94.233063785,24.7,48.7
"Montero, Keider",672456,2025,5,3,4.37,0.333,37.7,8.1,39.4,78.2070475,94.272348602,19.8,47.7
"Gomber, Austin",596295,2025,0,7,7.49,0.372,38.6,14.5,39.5,76.183386514,94.163679539,15.9,49
"Ashcraft, Graham",668933,2025,8,5,3.99,0.290,30.3,4.1,32.3,71.427445106,93.12468016,29.8,50
"Rodríguez, Yariel",684320,2025,3,2,3.08,0.317,39.6,9.4,35.9,74.039525263,93.477406085,27.5,45.6
"Lopez, Jacob",682052,2025,7,7,4.08,0.297,39,6.6,33.2,75.241919153,93.259499619,28.3,45.6
"O'Brien, Riley",676617,2025,3,1,2.06,0.298,27.2,3.2,34.4,73.0882395,93.31006925,24.6,45.1
"Myers, Tobias",668964,2025,1,2,3.55,0.324,32.7,6.7,44.8,80.333098049,94.68101638,21.4,51
"Glasnow, Tyler",607192,2025,4,3,3.19,0.285,33.2,7.9,37.4,77.428044393,93.680485164,28.2,42.4
"Sterner, Justin",686993,2025,4,3,3.18,0.285,33.5,9.6,38.9,79.729549881,94.196491916,30.8,50
"McLean, Nolan",690997,2025,5,1,2.06,0.293,31,8,43.4,77.761978772,94.963544071,28.4,42.4
"Pérez, Eury",691587,2025,7,6,4.25,0.281,31.8,9,46.5,79.803726066,95.063994016,28.4,50.3
"Kerkering, Orion",689147,2025,8,4,3.30,0.298,36.5,6.5,33.5,73.900155357,93.028676407,23.7,42.9
"Simpson, Josh",681006,2025,4,2,7.34,0.333,29.2,6.7,44.9,79.500046444,95.10063382,26.1,45.7
"Fried, Max",608331,2025,19,5,2.86,0.287,29.6,6.9,37.2,74.884362841,93.857707638,26.6,46.9
"Abbott, Andrew",671096,2025,10,7,2.87,0.294,34.8,8,33.7,77.083824,93.25435499,24,50
"Pivetta, Nick",601713,2025,13,5,2.87,0.310,36.4,10.9,45,79.736148771,94.701402267,24.6,47.7
"Gilbert, Tyler",656457,2025,4,2,3.88,0.313,35,10,40.7,80.02792087,94.180523139,26.2,46.8
"Keller, Mitch",656605,2025,6,15,4.19,0.326,34.6,7.8,43.8,79.4512197,94.723694728,20.6,48.5
"Holmes, Clay",605280,2025,12,8,3.53,0.322,30.5,6.8,42.3,78.369750081,94.822225709,22.1,44.8
"Thompson, Ryan",657044,2025,3,2,3.92,0.296,30.6,8.1,40.3,78.281544839,94.890948145,25.3,48.6
"Garcia, Rico",670329,2025,0,2,3.15,0.280,27.7,7.4,42.6,73.883420638,94.043402366,30.7,50.5
"Rodón, Carlos",607074,2025,18,9,3.09,0.286,32.3,7.5,38.9,77.269631895,94.179910283,30.3,45.5
"Hoffman, Jeff",656546,2025,9,7,4.37,0.301,31.4,12.8,39.5,77.817843765,94.667665118,31.6,50.7
"Rodríguez, Randy",678495,2025,3,5,1.78,0.251,27.6,7.8,36.2,74.880712931,93.639142783,31.1,49.8
"Halvorsen, Seth",678020,2025,1,2,4.99,0.324,29.3,9.5,39.7,77.340176667,94.422480442,29.4,48.1
"Miller, Erik",669062,2025,4,1,1.50,0.330,30.1,3.6,32.5,77.48305225,93.1156705,30.7,47.3
"Zeferjahn, Ryan",666171,2025,6,5,4.74,0.321,38.6,10.3,37.2,77.010090845,93.863811135,30.3,45.3
"Wilson, Bryse",669060,2025,0,2,6.65,0.422,39.1,10.9,45.4,80.332000824,95.450946154,16.7,47
"López, Pablo",641154,2025,5,4,2.74,0.309,39.5,6,35.3,77.770456355,93.87682108,25.9,48.5
"Romero, JoJo",668941,2025,4,6,2.07,0.291,28.6,7.1,35.1,75.560028293,93.63772638,27,41.5
"Henriquez, Ronny",678692,2025,7,1,2.22,0.270,33.9,10.9,42.5,76.803106744,94.152020702,36,49.4
"Rogers, Trevor",669432,2025,9,3,1.81,0.288,31.5,7.6,48.4,77.857441469,95.210002667,25.6,52.9
"Alexander, Tyler",641302,2025,5,14,4.98,0.332,37.3,5.8,39.6,77.131036107,94.163849394,21.5,48.8
